SampleName,taxon,country,Elevation,Latitude,Longitude,RMavDemes,mPTPgroups,NMMgroups,STRUCTURE,morphologicalSampling,F_MISS,chosenForBFD
FZ383_E_leucantha_Plate1,leucantha,Chile,707,-37.81305556,-73.13722222,deme1,group3,group4,group2,x,0.533005,0
FZ384_E_leucantha_Plate4,leucantha,Chile,706,-37.81277,-73.1375,deme1,group3,group4,group2,x,0.0669951,1
FZ385_E_leucantha_Plate4,leucantha,Chile,707,-37.8130556,-73.1372222,deme1,group3,group4,group2,x,0.0453202,0
FZ390_E_leucantha_Plate4,leucantha,Chile,132,-37.6813889,-73.2888889,deme1,group3,group4,group2,x,0.0472906,0
FZ395_E_rosea_Plate4,rosea,Chile,1662,-36.9075,-71.41138889,deme2,group9,group1,group1,x,0.0295567,0
FZ400_E_alpina_Plate4,alpina,Chile,1912,-36.90527778,-71.40333333,deme2,group10,group2,group1,x,0.0807882,0
FZ406_E_rubra_Plate1,rubra,Chile,803,-37.39333333,-71.46277778,deme2,group10,group2,group1,x,0.0866995,0
FZ413_E_revoluta_Plate5,revoluta,Chile,781,-37.3930555,-71.4569444,deme1,group1,group3,group2,x (leaves only),0.0561576,0
FZ416_E_alpina_Plate5,alpina,Chile,1256,-37.37805556,-71.36222222,deme2,group10,group1,group1,x,0.560591,0
FZ422_E_alpina_Plate5,alpina,Chile,1259,-37.37805556,-71.36222222,deme2,group10,group2,group1,x,0.22266,0
FZ424_E_alpina_Plate4,alpina,Chile,1255,-37.37805556,-71.36222222,deme2,group10,group2,group1,x,0.062069,0
FZ425_E_rubra_Plate4,rubra,Chile,798,-38.53947222,-71.67588889,deme2,group10,group2,group1,x,0.0650246,0
FZ426_E_rosea_Plate4,rosea,Chile,798,-38.53944,-71.67583,deme2,group9,group1,group1,x,0.0837438,0
FZ427_E_rosea_Plate4,rosea,Chile,798,-38.53944444,-71.67583333,deme2,group9,group1,group1,x,0.0295567,0
FZ428_E_rosea_Plate4,rosea,Chile,1091,-38.57916,-71.6275,deme2,group9,group1,group1,x,0.0492611,1
FZ429_E_florida_Plate1,florida,Chile,1049,-38.5769445,-71.6288889,deme3,group5,group5,group1,x (leaves only),0.0827586,0
FZ430_E_florida_Plate4,florida,Chile,1055,-38.5769445,-71.6288889,deme3,group5,group5,group1,x (leaves only),0.0985222,0
FZ431_E_florida_Plate1,florida,Chile,1055,-38.57694444,-71.62888889,deme3,group5,group5,group1,x,0.725123,0
FZ432_E_florida_Plate4,florida,Chile,1070,-38.5775,-71.6258334,deme3,group5,group5,group1,x,0.238424,0
FZ433_E_florida_Plate4,florida,Chile,1070,-38.5775,-71.6258334,deme3,group5,group5,group1,x,0.0857143,1
FZ434_E_florida_Plate4,florida,Chile,1100,-38.5772223,-71.6255556,deme3,group5,group5,group1,x,0.08867,0
FZ435_E_florida_Plate4,florida,Chile,1121,-38.5772223,-71.6236111,deme3,group5,group5,group1,x,0.0906404,1
FZ436_E_florida_Plate4,florida,Chile,1149,-38.5775,-71.6227778,deme3,group8,group6,group1,x,0.00985222,1
FZ437_E_florida_Plate4,florida,Chile,1149,-38.5775,-71.6227778,deme3,group8,group6,group1,x,0.0738916,0
FZ438_E_florida_Plate4,florida,Chile,1164,-38.57777778,-71.62277778,deme3,group8,group6,group1,x,0.0334975,0
FZ439_E_rubra_Plate1,rubra,Chile,1165,-38.5777778,-71.6227778,deme2,group9,group1,group1,x,0.0433498,0
FZ440_E_rubra_Plate5,rubra,Chile,1166,-38.57777778,-71.62305556,deme2,group9,group1,group1,x,0.0305419,0
FZ441_E_rubra_Plate4,rubra,Chile,1130,-38.5777778,-71.6225,deme2,group9,group1,group1,x,0.0167488,0
FZ442_E_rubra_Plate4,rubra,Chile,1130,-38.5780556,-71.6225,deme2,group9,group1,group1,x,0.0128079,1
FZ443_E_rubra_Plate4,rubra,Chile,1130,-38.5777778,-71.6225,deme2,group9,group1,group1,x,0.017734,0
FZ444_E_rubra_Plate4,rubra,Chile,1130,-38.57805556,-71.62222222,deme2,group9,group1,group1,x,0.0128079,1
FZ445_E_rubra_Plate4,rubra,Chile,1130,-38.5780556,-71.6222223,deme2,group9,group1,group1,x,0.0187192,0
FZ446_E_rubra_Plate4,rubra,Chile,1140,-38.5777778,-71.6225,deme2,group9,group1,group1,x,0.0167488,0
FZ447_E_rubra_Plate4,rubra,Chile,1150,-38.5780556,-71.6225,deme2,group9,group1,group1,x,0.0187192,0
FZ448_E_florida_Plate4,florida,Chile,1156,-38.5777778,-71.6222223,deme3,group8,group6,group1,x,0.0719212,0
FZ449_E_florida_Plate4,florida,Chile,1156,-38.5777778,-71.6222223,deme3,group8,group6,group1,x,0.0128079,1
FZ450_E_florida_Plate5,florida,Chile,1156,-38.5777778,-71.6222223,deme3,group8,group6,group1,x,0.0147783,0
FZ451_E_florida_Plate4,florida,Chile,1156,-38.5777778,-71.6225,deme3,group8,group6,group1,x,0.0118227,0
FZ452_E_florida_Plate4,florida,Chile,1156,-38.5777778,-71.6225,deme3,group7,group6,group1,x,0.0256158,1
FZ454_E_revoluta_Plate4,revoluta,Chile,664,-38.3477777,-71.8491666,deme1,group1,group3,group2,x (leaves only),0.0344828,0
FZ456_E_rosea_Plate1,rosea,Chile,1056,-38.28666,-71.77222,deme2,group9,group1,group1,x,0.0325123,0
FZ457_E_rosea_Plate4,rosea,Chile,1068,-38.25333333,-71.74861111,deme2,group9,group1,group1,x,0.0896552,0
FZ466_E_rosea_Plate4,rosea,Chile,1328,-35.46611111,-70.97725,deme2,group9,group1,group1,x,0.0453202,0
FZ467_E_rosea_Plate5,rosea,Chile,1329,-35.46583,-70.97722,deme2,group9,group1,group1,x,0.0502463,0
FZ477_E_rosea_Plate4,rosea,Chile,1661,-35.59666667,-71.0175,deme2,group9,group1,group1,x,0.0581281,0
FZ478_E_rosea_Plate5,rosea,Chile,1660,-35.59666,-71.0175,deme2,group9,group1,group1,x,0.0394089,1
FZ479_E_alpina_Plate4,alpina,Chile,1913,-35.59972222,-71.01166667,deme2,group9,group1,group1,x,0.017734,0
FZ489_E_alpina_Plate4,alpina,Chile,1921,-35.59944444,-71.01,deme2,group9,group1,group1,x,0.0344828,1
FZ491_E_revoluta_Plate1,revoluta,Chile,438,-35.65194444,-71.25138889,deme1,group1,group3,group2,x,0.0256158,0
FZ495_E_revoluta_Plate4,revoluta,Chile,437,-35.6477777,-71.2552778,deme1,group1,group3,group2,x,0.0315271,0
FZ496_E_myrtoidea_Plate4,myrtoidea,Chile,342,-35.9208334,-71.3677778,deme1,group1,group3,group2,x,0.0334975,0
FZ497_E_myrtoidea_Plate4,myrtoidea,Chile,342,-35.92055556,-71.36777778,deme1,group1,group3,group2,x,0.0315271,0
FZ499_E_revoluta_Plate4,revoluta,Chile,266,-35.9697223,-71.4836111,deme1,group1,group3,group2,x,0.0236453,0
FZ500_E_rubra_Plate4,rubra,Chile,528,-36.60027778,-71.46916667,deme2,group10,group2,group1,x,0.053202,0
FZ501_E_revoluta_Plate4,revoluta,Chile,530,-36.6005556,-71.4691667,deme1,group1,group3,group2,x (leaves only),0.302463,0
FZ503_E_revoluta_Plate4,revoluta,Chile,529,-36.6002778,-71.4691667,deme1,group1,group3,group2,x (leaves only),0.026601,0
FZ510_E_rosea_Plate4,rosea,Chile,725,-40.77027778,-72.27111111,deme2,group9,group1,group1,x,0.13202,1
FZ518_E_alpina_Plate4,alpina,Chile,1130,-40.77444444,-72.20027778,deme2,group10,group2,group1,x,0.0945813,1
FZ523_E_alpina_Plate1,alpina,Chile,1276,-40.7780556,-72.1891666,deme2,group10,group2,group1,x,0.100493,0
FZ527_E_rosea_Plate1,rosea,Chile,592,-40.20777778,-73.4,deme1,group4,group4,group2,x,0.0689655,1
FZ532_E_rosea_Plate4,rosea,Chile,900,-40.17722222,-73.44055556,deme2,group9,group1,group1,x,0.0394089,1
FZ533_E_rubra_Plate1,rubra,Chile,35,-39.67555556,-73.35138889,deme2,group10,group2,group1,x,0.0660099,0
FZ542_E_myrtoidea_Plate1,myrtoidea,Chile,920,-33.72972222,-70.47083333,deme1,group1,group4,group2,x,0.546798,0
FZ544_E_myrtoidea_Plate4,myrtoidea,Chile,920,-33.73,-70.4711111,deme1,group1,group3,group2,x,0.0374384,1
FZ92_E_alpina_Plate5,alpina,Chile,2085,-33.30333,-70.32027,deme1,group2,group4,group2,x (leaves only),0.138916,1
FZ94_E_alpina_Plate5,alpina,Chile,2165,-33.2961111,-70.3141667,deme2,group10,group2,group1,x (leaves only),0.0975369,0
FZ97_E_rubra_Plate5,rubra,Chile,27,-39.96472222,-73.56916667,deme2,group10,group2,group1,x,0.343842,0
FZ98_E_rubra_Plate5,rubra,Chile,12,-39.9397222,-73.5825,deme2,group10,group2,group1,x (leaves only),0.134975,0
PHV318_E_rubra_Plate4,rubra,Chile,700,-40.68333,-71.7,deme2,group10,group1,group1,,0.82069,0
PHV336_E_alpina_Plate4,alpina,Chile,140,-51.56794,-72.61786,deme2,group10,group2,group1,,0.170443,0
