,SampleName,SpeciesID,SpecimenID,taxon,country,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim4.n0,probass.dim4.n0.g1,probass.dim4.n0.g2,probass.dim4.n0.g3,NMDS1.dim4.n0,NMDS2.dim4.n0,NMDS3.dim4.n0,NMDS4.dim4.n0
29,FZ263_E_myrtilloides_Plate5,FZ263_E_myrtilloides,FZ263,myrtilloides,Bolivia,3416,-16.31483333,-67.92405556,2,0,0.99924561,0.00075439,0.132445887,0.004506418,1,1,0,-0.099261897,0.027582842,-0.022903773,2,0,1,9.22E-291,-0.094912318,0.008126539,0.01186648,0.020494786
30,FZ318_E_myrtilloides_Plate3,FZ318_E_myrtilloides,FZ318,myrtilloides,Bolivia,3830,-16.19805556,-68.12222222,1,1,0,0,-0.195180987,-0.004923367,2,0,1,0.14798963,-0.03982662,0.034693031,1,1,0,0,0.132691368,-0.030840914,-0.041624017,0.016250253
31,FZ321_E_myrtilloides_Plate1,FZ321_E_myrtilloides,FZ321,myrtilloides,Bolivia,3835,-16.19694444,-68.12777778,1,1,0,0,-0.195752501,-0.004265813,2,0,1,0.147381827,-0.043991302,0.035363495,1,1,0,0,0.132942659,-0.030499842,-0.045650128,0.015665022
32,FZ328_E_myrtilloides_Plate3,FZ328_E_myrtilloides,FZ328,myrtilloides,Peru,3827,-16.38944444,-71.44416667,1,1,0,0,-0.194760691,-0.004693254,2,0,1,0.14862091,-0.043477507,0.025884306,1,1,0,0,0.142202367,0.000881859,-0.014894307,0.00099425
33,FZ86_E_myrtilloides_Plate3,FZ86_E_myrtilloides,FZ86,myrtilloides,Colombia,3197,5.001111111,-74.18305556,3,0,0.007595467,0.992404533,0.133008919,0.003041483,1,1,0,-0.105238069,0.023417087,-0.017306464,3,0,2.22E-37,1,-0.094411938,-0.00417119,0.029518969,-0.020614941
34,FZ87_E_myrtilloides_Plate5,FZ87_E_myrtilloides,FZ87,myrtilloides,Colombia,3360,4.566388889,-74.00111111,3,0,0.000173769,0.999826231,0.133302269,0.003860918,1,1,0,-0.104513861,0.024566242,-0.016703778,3,0,2.74E-35,1,-0.093563073,-0.001276787,0.030555854,-0.018468096
35,FZ89_E_myrtilloides_Plate5,FZ89_E_myrtilloides,FZ89,myrtilloides,Colombia,2660,4.591666667,-74,3,0,3.60E-07,0.99999964,0.133615367,0.003380225,1,1,0,-0.106773372,0.022003015,-0.016531826,3,0,2.65E-48,1,-0.095680621,-2.94E-05,0.027783022,-0.025086395
36,JW7766_E_myrtilloides_Plate3,JW7766_E_myrtilloides,JW7766,myrtilloides,Bolivia,3400,-18.96666667,-65.4,1,1,0,0,-0.195240183,-0.006920951,2,0,1,0.146370228,-0.046270502,0.034068569,1,1,0,0,0.132115962,-0.036043182,-0.04204145,0.009781396
37,NR2822_E_myrtilloides_Plate3,NR2822_E_myrtilloides,NR2822,myrtilloides,Bolivia,3650,-17.26916667,-66.32777778,1,1,0,0,-0.195856712,-0.005382273,2,0,1,0.147376721,-0.045211483,0.033815306,1,1,0,0,0.132873037,-0.030136346,-0.039529742,0.018938528
38,RO334_E_myrtilloides_Plate3,RO334_E_myrtilloides,RO334,myrtilloides,Costa Rica,2900,10.12222222,-84.10138889,3,0,1.20E-05,0.99998802,0.133429161,0.003558387,1,1,0,-0.104996225,0.026121736,-0.014485969,3,0,2.82E-45,1,-0.094225059,0.003961112,0.027012257,-0.022402564
39,FZ223_E_polifolia_Plate3,FZ223_E_polifolia,FZ223,polifolia,Peru,3170,-6.712777778,-77.85361111,2,0,0.996959197,0.003040803,0.132534164,0.004590106,1,1,0,-0.097931418,0.031297078,-0.023925481,2,0,1,9.18E-276,-0.093841508,0.020098135,0.011960475,0.019846338
40,FZ224_E_polifolia_Plate1,FZ224_E_polifolia,FZ224,polifolia,Peru,3170,-6.713055556,-77.85277778,2,0,0.999999264,7.36E-07,0.131981467,0.003804987,1,1,0,-0.09815683,0.028844396,-0.022153844,2,0,1,2.21E-210,-0.092550175,0.019848399,0.016191571,0.017004419
41,FZ225_E_polifolia_Plate3,FZ225_E_polifolia,FZ225,polifolia,Peru,3170,-6.713333333,-77.85361111,2,0,0.999924608,7.54E-05,0.13221773,0.003463812,1,1,0,-0.097720867,0.031561856,-0.019709436,2,0,1,4.54E-225,-0.093200437,0.01743578,0.014404831,0.017117926
42,FZ226_E_polifolia_Plate1,FZ226_E_polifolia,FZ226,polifolia,Peru,3170,-6.713055556,-77.85333333,2,0,0.999794696,0.000205304,0.132369939,0.004498201,1,1,0,-0.097704211,0.032150237,-0.022122418,2,0,1,1.13E-258,-0.094179348,0.020005337,0.012493113,0.018153211
