Taxon,MorphogroupID,CladeID,SpecimenID,HerbariumSheetID,Elevation,Latitude,Longitude,LAMLEN,LAMWID,PEDLEN,OVALEN,CALYTUBLEN,CALLOBLEN,PETLEN,PETWID,FILLEN,STYLEN
pendula,20,II,FZ233,MO6273232,2223,-7.286555556,-78.51244444,154,41.67,6.08,1.63,0.98,1.69,7.84,2.46,4.6,5.7
pendula,20,II,JC9871,F1366631,2100,6.751111111,-72.70333333,190,46,7.2,1.9,2.09,0.99,7.74,2.69,4.12,5.98
herrerae,20,II,FZ186,MOUNM_FZ186,2768,-13.46777778,-72.49519444,174.33,35.33,6.23,1.86,1.81,2.25,7.73,2.65,4.2,5.2
pendula,20,II,FZ244,MO6273227,2118,-7.072111111,-79.04830556,184,42.33,7,1.33,0.98,1.27,7.57,2.47,5.3,6
herrerae,20,II,FZ190,MOUNM_FZ190,2820,-13.46616667,-72.49694444,149.33,31.33,5.42,1.92,1.6,2.68,7.55,2.55,5,6.3
pendula,20,II,JL5220,MO2771452,1650,9.314166667,-70.18083333,165,28,6.9,1.81,1.58,0.88,7.5,2,4.72,6.11
pendula,20,II,IH6604,MO6280742,2420,-13.06666667,-72.36666667,146.67,22.33,5.68,1.17,1.05,0.49,7.28,1.45,4.9,6
pendula,20,II,FZ232,MO6273231,2540,-7.266611111,-78.51205556,143.67,37.33,9.97,1.5,1.07,1.38,7.2,2.27,4.58,5.3
herrerae,20,II,MW5820,NY_MW5820,2885,-12.31527778,-74.81611111,103.67,24.33,5.73,1.53,1.37,1.1,7.17,2.39,4.7,5.09
pendula,20,II,JS104901,MO2223192,1700,9.823055556,-70.06666667,212.67,26.67,6.03,2.24,2.03,0.8,7.08,2.25,4.4,5.7
pendula,20,II,JA1012,MO5894703,2150,-5.877222222,-77.94305556,215,48.73,9.7,1.5,1.2,0.5,6.96,2.07,5,5.2
pendula,20,II,RL13025,MO3272835,1500,9.233333333,-70.25,194.67,34,7.16,1.82,1.68,0.89,6.94,2.13,5.27,5.34
pendula,20,II,FZ230,MO6273219,2540,-7.266611111,-78.51205556,116.67,35,6.92,1.26,0.73,1.42,6.55,2.15,3.5,4.78
pendula,20,II,LA4940,MO2670060,1300,9.916666667,-69.38333333,195.67,33.33,5.23,1.58,1.63,0.78,6.3,1.91,3.95,4.85
herrerae,20,II,FZ187,MOUNM_FZ187,2794,-13.46630556,-72.49686111,154.67,35.33,0,0,0,0,0,0,,
herrerae,20,II,FZ188,MOUNM_FZ188,2805,-13.46625,-72.49680556,154.33,34.67,0,0,0,0,0,0,,
herrerae,20,II,FZ189,MOUNM_FZ189,2810,-13.46583333,-72.49677778,159,33,0,0,0,0,0,0,,
pendula,20,II,FZ227,MO6273224,2306,-6.823444444,-77.95033333,164.33,33.33,0,0,0,0,0,0,,
pendula,20,II,FZ90,ANDES_5,2660,4.591666667,-74,217.67,55.67,0,0,0,0,0,0,0,0
paniculata,19,III,JH1146,MO2605905,2600,-4.345833333,-79.15583333,69,24,1.99,1.92,1.02,0.33,6.68,3.22,4.57,4.3
