,SpeciesID,SpecimenID,species,MorphogroupID,Latitude,Longitude,Elevation,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim2.n1,probass.dim2.n1.g1,probass.dim2.n1.g2,probass.dim2.n1.g3,NMDS1.dim2.n1,NMDS2.dim2.n1,class.dim2.n2,probass.dim2.n2.g1,probass.dim2.n2.g2,probass.dim2.n2.g3,NMDS1.dim2.n2,NMDS2.dim2.n2,class.dim2.n3,probass.dim2.n3.g1,probass.dim2.n3.g2,probass.dim2.n3.g3,NMDS1.dim2.n3,NMDS2.dim2.n3,class.dim2.n4,probass.dim2.n4.g1,probass.dim2.n4.g2,probass.dim2.n4.g3,NMDS1.dim2.n4,NMDS2.dim2.n4,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim3.n1,probass.dim3.n1.g1,probass.dim3.n1.g2,probass.dim3.n1.g3,NMDS1.dim3.n1,NMDS2.dim3.n1,NMDS3.dim3.n1,class.dim3.n2,probass.dim3.n2.g1,probass.dim3.n2.g2,probass.dim3.n2.g3,NMDS1.dim3.n2,NMDS2.dim3.n2,NMDS3.dim3.n2,class.dim3.n3,probass.dim3.n3.g1,probass.dim3.n3.g2,probass.dim3.n3.g3,NMDS1.dim3.n3,NMDS2.dim3.n3,NMDS3.dim3.n3,class.dim3.n4,probass.dim3.n4.g1,probass.dim3.n4.g2,probass.dim3.n4.noise,NMDS1.dim3.n4,NMDS2.dim3.n4,NMDS3.dim3.n4
42,FZ238_E_piurensis,FZ238,piurensis,24,-7.328138889,-78.81075,2709,1,1,0,0,-0.333116809,0.123966097,1,1,0,0,-0.333116809,-0.123966097,1,1,0,0,0.333116809,-0.123966097,1,1,0,0,-0.333116809,0.123966097,1,1,0,0,-0.333116809,-0.123966097,1,1,0,0,-0.22869175,-0.093361016,0.072416513,1,1,0,0,0.22869175,0.093361016,-0.072416513,1,1,0,0,-0.22869175,-0.093361016,0.072416513,1,1,0,0,0.22869175,-0.093361016,0.072416513,1,0.999975292,0,2.47E-05,0.22869175,-0.093361016,-0.072416513
43,FZ240_E_piurensis,FZ240,piurensis,24,-7.328138889,-78.81075,2709,1,1,0,0,-0.333062304,0.124830062,1,1,0,0,-0.333062304,-0.124830062,1,1,0,0,0.333062304,-0.124830062,1,1,0,0,-0.333062304,0.124830062,1,1,0,0,-0.333062304,-0.124830062,1,1,0,0,-0.2279466,-0.093778587,0.074260585,1,1,0,0,0.2279466,0.093778587,-0.074260585,1,1,0,0,-0.2279466,-0.093778587,0.074260585,1,1,0,0,0.2279466,-0.093778587,0.074260585,1,0.999993904,0,6.10E-06,0.2279466,-0.093778587,-0.074260585
1,AL360_E_reticulata,AL360,reticulata,25,-19.81444444,-63.71944444,1540,2,0,1,0,0.354933207,0.099529713,2,0,1,0,0.354933207,-0.099529712,2,0,1,0,-0.354933207,-0.099529712,2,0,1,0,0.354933207,0.099529713,2,0,1,0,0.354933207,-0.099529713,2,0,1,0,0.253779561,-0.066739767,-0.05526666,2,0,1,0,-0.253779561,0.066739767,0.05526666,2,0,1,0,0.253779561,-0.066739767,-0.05526666,2,0,1,0,-0.253779561,-0.066739767,-0.05526666,2,0,0.999986819,1.32E-05,-0.253779561,-0.066739767,0.05526666
2,FZ293_E_reticulata,FZ293,reticulata,25,-18.17491667,-63.83616667,1707,2,0,1,0,0.355232895,0.099413104,2,0,1,0,0.355232895,-0.099413104,2,0,1,0,-0.355232895,-0.099413105,2,0,1,0,0.355232895,0.099413104,2,0,1,0,0.355232895,-0.099413104,2,0,1,0,0.254282165,-0.065708815,-0.055394574,2,0,1,0,-0.254282165,0.065708815,0.055394574,2,0,1,0,0.254282165,-0.065708815,-0.055394574,2,0,1,0,-0.254282165,-0.065708815,-0.055394574,2,0,0.999986155,1.38E-05,-0.254282165,-0.065708815,0.055394574
3,FZ294_E_reticulata,FZ294,reticulata,25,-18.17619444,-63.83527778,1701,2,0,1,0,0.354582492,0.100098156,2,0,1,0,0.354582491,-0.100098156,2,0,1,0,-0.354582491,-0.100098156,2,0,1,0,0.354582491,0.100098156,2,0,1,0,0.354582492,-0.100098156,2,0,1,0,0.253083446,-0.066710852,-0.054830809,2,0,1,0,-0.253083446,0.066710852,0.054830809,2,0,1,0,0.253083446,-0.066710852,-0.054830809,2,0,1,0,-0.253083446,-0.066710852,-0.054830809,2,0,0.99998665,1.33E-05,-0.253083446,-0.066710852,0.054830809
4,FZ295_E_reticulata,FZ295,reticulata,25,-18.17577778,-63.82022222,1885,2,0,1,0,0.354893635,0.098626039,2,0,1,0,0.354893634,-0.098626039,2,0,1,0,-0.354893634,-0.098626039,2,0,1,0,0.354893634,0.098626039,2,0,1,0,0.354893635,-0.098626039,2,0,1,0,0.254200446,-0.066812414,-0.055593888,2,0,1,0,-0.254200446,0.066812414,0.055593888,2,0,1,0,0.254200446,-0.066812414,-0.055593888,2,0,1,0,-0.254200446,-0.066812414,-0.055593888,2,0,0.99997485,2.51E-05,-0.254200446,-0.066812414,0.055593888
5,FZ296_E_reticulata,FZ296,reticulata,25,-18.17641667,-63.82252778,1868,2,0,1,0,0.354278819,0.098456922,2,0,1,0,0.35427882,-0.098456923,2,0,1,0,-0.35427882,-0.098456923,2,0,1,0,0.354278819,0.098456922,2,0,1,0,0.354278819,-0.098456922,2,0,1,0,0.254193637,-0.066484515,-0.055904643,2,0,1,0,-0.254193637,0.066484515,0.055904643,2,0,1,0,0.254193637,-0.066484515,-0.055904643,2,0,1,0,-0.254193637,-0.066484515,-0.055904643,2,0,0.999982359,1.76E-05,-0.254193637,-0.066484515,0.055904643
6,FZ297_E_reticulata,FZ297,reticulata,25,-18.17875,-63.83052778,1701,2,0,1,0,0.354631781,0.099137338,2,0,1,0,0.354631781,-0.099137339,2,0,1,0,-0.354631781,-0.099137339,2,0,1,0,0.354631781,0.099137338,2,0,1,0,0.354631781,-0.099137338,2,0,1,0,0.253935684,-0.066288758,-0.055074545,2,0,1,0,-0.253935684,0.066288758,0.055074545,2,0,1,0,0.253935684,-0.066288758,-0.055074545,2,0,1,0,-0.253935684,-0.066288758,-0.055074545,2,0,0.999989184,1.08E-05,-0.253935684,-0.066288758,0.055074545
7,FZ298_E_reticulata,FZ298,reticulata,25,-18.17841667,-63.82230556,1941,2,0,1,0,0.354830853,0.099298315,2,0,1,0,0.354830853,-0.099298314,2,0,1,0,-0.354830853,-0.099298315,2,0,1,0,0.354830853,0.099298315,2,0,1,0,0.354830853,-0.099298315,2,0,1,0,0.253753659,-0.066493899,-0.055280291,2,0,1,0,-0.253753659,0.066493899,0.055280291,2,0,1,0,0.253753659,-0.066493899,-0.055280291,2,0,1,0,-0.253753659,-0.066493899,-0.055280291,2,0,0.999990765,9.24E-06,-0.253753659,-0.066493899,0.055280291
8,FZ300_E_reticulata,FZ300,reticulata,25,-18.18083333,-63.84244444,1860,2,0,1,0,0.354677241,0.099521665,2,0,1,0,0.35467724,-0.099521665,2,0,1,0,-0.354677241,-0.099521665,2,0,1,0,0.35467724,0.099521665,2,0,1,0,0.354677241,-0.099521665,2,0,1,0,0.25399665,-0.066530953,-0.054834542,2,0,1,0,-0.25399665,0.066530953,0.054834542,2,0,1,0,0.25399665,-0.066530953,-0.054834542,2,0,1,0,-0.25399665,-0.066530953,-0.054834542,2,0,0.99998101,1.90E-05,-0.25399665,-0.066530953,0.054834542
