,SampleName,SpeciesID,SpecimenID,taxon,country,Elevation,Latitude,Longitude,class.dim2.n0,probass.dim2.n0.g1,probass.dim2.n0.g2,probass.dim2.n0.g3,probass.dim2.n0.g4,probass.dim2.n0.g5,probass.dim2.n0.g6,probass.dim2.n0.g7,NMDS1.dim2.n0,NMDS2.dim2.n0,class.dim3.n0,probass.dim3.n0.g1,probass.dim3.n0.g2,probass.dim3.n0.g3,probass.dim3.n0.g4,probass.dim3.n0.g5,probass.dim3.n0.g6,probass.dim3.n0.g7,probass.dim3.n0.g8,NMDS1.dim3.n0,NMDS2.dim3.n0,NMDS3.dim3.n0,class.dim4.n0,probass.dim4.n0.g1,probass.dim4.n0.g2,probass.dim4.n0.g3,probass.dim4.n0.g4,probass.dim4.n0.g5,probass.dim4.n0.g6,probass.dim4.n0.g7,probass.dim4.n0.g8,probass.dim4.n0.g9,NMDS1.dim4.n0,NMDS2.dim4.n0,NMDS3.dim4.n0,NMDS4.dim4.n0
22,FZ327_E_angustifolia_Plate3,FZ327_E_angustifolia,FZ327,angustifolia,Peru,2684,-16.56,-71.44,6,0,0,0,0,1.52E-17,1,0,0.088307499,0.019250396,7,5.97E-198,0,0,0,0,2.26E-121,1,2.19E-56,-0.211268289,0.05913932,0.035109834,6,0,0,0,0,0,1,1.71E-256,0,2.58E-121,-0.113501562,-0.014612744,0.056925161,0.00108307
23,MG6302_E_angustifolia_Plate3,MG6302_E_angustifolia,MG6302,angustifolia,Chile,1800,-18.83305556,-69.74527778,6,0,1.03E-298,0,0,5.80E-13,1,0,0.085834238,0.013428884,7,5.00E-192,1.17E-301,0,0,0,1.52E-114,1,1.00E-50,-0.205566885,0.041076089,0.049115255,6,0,0,0,0,0,1,2.08E-225,0,2.20E-99,-0.111784407,-0.001358409,0.053624173,0.00383942
24,RK10198_E_angustifolia_Plate3,RK10198_E_angustifolia,RK10198,angustifolia,Chile,2000,-31.38,-69.7,5,4.25E-167,4.40E-139,0,0,1,3.11E-168,2.59E-281,0.055531508,-0.012430679,8,5.76E-126,1.89E-214,0,9.30E-192,0,8.53E-14,1.41E-60,1,-0.139927116,-0.04557411,-0.004905889,9,0,1.26E-156,0,0,1.81E-159,7.81E-128,9.53E-27,0,1,-0.083506912,0.02188533,-0.004148767,0.005950982
25,RW18130_E_angustifolia_Plate3,RW18130_E_angustifolia,RW18130,angustifolia,Chile,2400,-29.95,-70.55,5,1.64E-209,1.67E-165,0,0,1,1.13E-122,0,0.061932101,-0.01198623,8,1.56E-154,1.24E-253,0,1.48E-224,0,6.77E-12,4.48E-55,1,-0.157560738,-0.042742923,-0.005935257,9,0,1.41E-193,0,0,1.72E-189,5.22E-122,1.77E-29,0,1,-0.092329896,0.021335251,-0.006269702,-0.00287343
26,FZU10003A_E_tucumanensis_Plate1,FZU10003A_E_tucumanensis,FZU10003A,tucumanensis,Argentina,900,-27.06,-65.67,2,2.55E-39,1,6.09E-122,0,4.40E-59,0,5.33E-45,-0.013974555,-0.021571042,2,1.65E-30,1,2.98E-128,6.40E-69,4.80E-110,1.89E-281,0,3.76E-230,0.043512194,-0.053430187,0.027115287,1,1,6.60E-70,4.15E-117,2.08E-96,1.14E-65,0,0,4.49E-144,0,0.026852036,0.035515796,-0.012725738,-0.008372636
27,FZU10003B_E_tucumanensis_Plate3,FZU10003B_E_tucumanensis,FZU10003B,tucumanensis,Argentina,900,-27.06,-65.67,2,6.41E-51,1,6.01E-137,0,1.37E-59,0,1.92E-47,-0.014168427,-0.028736283,2,6.60E-41,1,2.82E-130,2.11E-90,6.63E-118,3.60E-289,0,2.67E-235,0.041442427,-0.064385768,0.045417855,1,1,8.91E-81,8.42E-126,8.98E-119,2.10E-78,0,0,1.55E-149,0,0.027012832,0.044753623,-0.010198926,-0.007368387
28,FZU10117A_E_tucumanensis_Plate1,FZU10117A_E_tucumanensis,FZU10117A,tucumanensis,Argentina,1900,-25.73,-65.48,2,9.38E-36,1,7.41E-120,8.90E-307,2.87E-58,0,5.78E-45,-0.013579544,-0.019711565,2,2.34E-27,1,3.24E-128,1.37E-66,7.57E-112,7.26E-275,0,5.28E-223,0.039688981,-0.049919275,0.026183757,1,1,1.15E-64,3.24E-116,6.22E-93,2.07E-63,0,0,1.38E-137,0,0.026476893,0.033286772,-0.012095227,-0.004019191
29,FZU10117C_E_tucumanensis_Plate3,FZU10117C_E_tucumanensis,FZU10117C,tucumanensis,Argentina,1900,-25.73,-65.48,2,2.92E-46,1,1.90E-124,0,8.74E-61,0,1.75E-44,-0.014926432,-0.024708725,2,5.80E-38,1,2.65E-117,1.40E-84,6.77E-105,6.59E-301,0,3.34E-244,0.044352355,-0.053888105,0.040123668,1,1,3.94E-75,2.87E-114,1.66E-110,2.20E-75,0,0,5.39E-133,0,0.02911375,0.038818029,-0.009178451,-0.003751266
30,FZU10377A_E_tucumanensis_Plate3,FZU10377A_E_tucumanensis,FZU10377A,tucumanensis,Argentina,1690,-22.33,-64.72,2,1.07E-62,1,8.49E-127,0,8.31E-65,0,8.74E-42,-0.017578747,-0.03076649,2,6.04E-48,1,9.44E-124,2.45E-98,2.07E-110,0,0,1.26E-253,0.048535332,-0.067956094,0.050287462,1,1,3.27E-90,2.20E-125,1.09E-126,5.85E-90,0,0,3.93E-144,0,0.030712796,0.047581329,-0.009971182,-0.004639775
31,FZU10406A_E_tucumanensis_Plate3,FZU10406A_E_tucumanensis,FZU10406A,tucumanensis,Bolivia,1670,-21.43,-64.27,2,4.22E-45,1,1.09E-135,0,3.72E-58,0,3.22E-48,-0.013276188,-0.026421506,2,3.22E-38,1,1.44E-122,1.12E-90,1.29E-114,2.29E-290,0,4.71E-233,0.037440384,-0.05654288,0.046865767,1,1,1.82E-72,2.30E-121,2.93E-120,3.75E-72,0,0,1.10E-142,0,0.024823717,0.043051307,-0.006942759,-0.005756548
