SpecimenID,HerbariumSheetID,Taxon,MorphogroupID,CladeID,Latitude,Longitude,Elevation,Floral and Leaf,Leaf only,no measurements,libraryNumber,sampledForBFD,Phenogroup,Genogroup
JS104901,MO2223192,pendula,20,II,9.823055556,-70.06666667,1700,x,,,,,2,
LA4940,MO2670060,pendula,20,II,9.916666667,-69.38333333,1300,x,,,,,2,
RL13025,MO3272835,pendula,20,II,9.233333333,-70.25,1500,x,,,,,2,
AN414,ANDES_2,pendula,20,II,5.833333333,-72.96666667,2400,x,,,Plate3,1,3,species2
CD9872,MO5863481,pendula,20,II,-5.666666667,-79.31666667,2000,x,,,,,3,
DS10848,MO3303837,pendula,20,II,-9.533333333,-77.85,1900,x,,,,,3,
FZ186,MOUNM_FZ186,herrerae,20,II,-13.46777778,-72.49519444,2768,x,,,Plate1,1,3,species1
FZ228,MO6273222,pendula,20,II,-7.266611111,-78.51205556,2540,x,,,Plate3,1,3,species4
FZ229,MO6273221,pendula,20,II,-7.266611111,-78.51205556,2540,x,,,,,3,
FZ230,MO6273219,pendula,20,II,-7.266611111,-78.51205556,2540,x,,,Plate3,0,3,species4
FZ231,MO6273218,pendula,20,II,-7.266611111,-78.51205556,2540,x,,,Plate3,0,3,species4
FZ232,MO6273231,pendula,20,II,-7.266611111,-78.51205556,2540,x,,,,,3,
FZ233,MO6273232,pendula,20,II,-7.286555556,-78.51244444,2223,x,,,,,3,
FZ234,MO6280740,pendula,20,II,-7.320944444,-78.80055556,2007,x,,,,,3,
FZ235,MO6280739,pendula,20,II,-7.320944444,-78.80055556,2007,x,,,Plate3,0,3,species4
FZ244,MO6273227,pendula,20,II,-7.072111111,-79.04830556,2118,x,,,Plate3,1,3,species4
MW5820,NY_MW5820,herrerae,20,II,-12.31527778,-74.81611111,2885,x,,,,,3,
MW7204,F2247319,pendula,20,II,-12.86666667,-76.05833333,1350,x,,,,,3,
FZ187,MOUNM_FZ187,herrerae,20,II,-13.46630556,-72.49686111,2794,,x,,Plate3,0,,species1
FZ188,MOUNM_FZ188,herrerae,20,II,-13.46625,-72.49680556,2805,,x,,Plate3,0,,species1
FZ189,MOUNM_FZ189,herrerae,20,II,-13.46583333,-72.49677778,2810,,x,,Plate3,0,,species1
FZ227,MO6273224,pendula,20,II,-6.823444444,-77.95033333,2306,,x,,Plate3,0,,species3
FZ90,ANDES_5,pendula,20,II,4.8916666,-74,2660,,x,,Plate3,1,,species2
BH6180,MO3603814,paniculata,19,III,8.633055556,-82.125,1200,x,,,,,1,
CR1019,MO4940972,paniculata,19,III,3.516666667,-76.15,2000,x,,,,,1,
DN14917,MOUNM_DN14917,paniculata,19,III,-3.966666667,-79.06666667,1900,x,,,,,1,
EK20578,GH_EK20578,paniculata,19,III,7.383611111,-72.56305556,2800,x,,,,,1,
FZ200,MOUNM_FZ200,paniculata,19,III,-13.35391667,-71.61519444,3492,x,,,Plate2,0,1,group5
FZ203,MOUNM_FZ203,paniculata,19,III,-13.18172222,-71.59766667,3186,x,,,Plate2,1,1,group5
FZ204,MOUNM_FZ204,paniculata,19,III,-13.18172222,-71.59766667,3186,x,,,Plate2,0,1,group5
FZ267,MOUNM_FZ267,paniculata,19,III,-16.30833333,-67.81366667,2984,x,,,Plate2,0,1,group5
