SpecimenID,HerbariumSheetID,Taxon,MorphogroupID,CladeID,Latitude,Longitude,Elevation,Floral and Leaf,Leaf only,no measurements,libraryNumber,sampledForBFD,Phenogroup,Genogroup
FZ192,MO6354369,myrtilloides,17,IV,-13.20111111,-71.64083333,3445,x,,,Plate5,0,2,group2
FZ193,MOUNM_FZ193,myrtilloides,17,IV,-13.20111111,-71.64083333,3445,x,,,Plate3,1,2,group2
FZ195,MO6354367,myrtilloides,17,IV,-13.20083333,-71.64055556,3448,x,,,Plate5,0,2,group2
FZ197,MOUNM_FZ197,myrtilloides,17,IV,-13.19944444,-71.62472222,3490,x,,,Plate3,0,2,group4
FZ213,MOUNM_FZ213,myrtilloides,17,IV,-6.759444444,-77.88972222,3398,x,,,,,2,
FZ219,MOUNM_FZ219,myrtilloides,17,IV,-6.744444444,-77.88055556,3600,x,,,Plate1,1,2,group1
FZ252,MOUNM_FZ252,myrtilloides,17,IV,-5.38,-79.55722222,2351,x,,,Plate5,1,2,group1
FZ253,MO6354134,myrtilloides,17,IV,-5.38,-79.55722222,2360,x,,,Plate5,0,2,group1
FZ263,MO6299012,myrtilloides,17,IV,-16.31472222,-67.92416667,3416,x,,,Plate5,1,2,group2
FZ275,MOUNM_FZ275,myrtilloides,17,IV,-17.7375,-65.51472222,3676,x,,,,,2,
FZ318,MOUNM_FZ318,myrtilloides,17,IV,-16.19805556,-68.12222222,3830,x,,,Plate3,1,2,group6
FZ328,MOUNM_FZ328,myrtilloides,17,IV,-16.38944444,-71.44416667,3827,x,,,Plate3,1,2,group5
GD10288,NY_GD10288,myrtilloides,17,IV,8.806666667,-82.53611111,3100,x,,,,,2,
GL3124,MO4852042,myrtilloides,17,IV,-3.723888889,-79.33638889,3550,x,,,,,2,
GL3349,MO4852053,myrtilloides,17,IV,-4.111111111,-79.17638889,3000,x,,,,,2,
HS3834,L336,myrtilloides,17,IV,-22.28333333,-64.86666667,3550,x,,,,,2,
IH8484,MOUNM_IH8484,myrtilloides,17,IV,-14.69277778,-71.2825,3800,x,,,,,2,
IS4874,F2146728,myrtilloides,17,IV,-6.260277778,-78.69805556,2500,x,,,,,2,
JB42556,MO5695960,myrtilloides,17,IV,0.233333333,-78.16666667,3250,x,,,,,2,
JB42865,MO4852043,myrtilloides,17,IV,-1.116666667,-78.91666667,3590,x,,,,,2,
JC23138,F1368086,myrtilloides,17,IV,4.798611111,-75.4175,3800,x,,,,,2,
JC24502,K210,myrtilloides,17,IV,10.78222222,-73.5,3260,x,,,,,2,
JC25054,F2154084,myrtilloides,17,IV,10.36288889,-72.94913889,3100,x,,,,,2,
JC27370,K216,myrtilloides,17,IV,2.833333333,-76.2025,3800,x,,,,,2,
JL12782,MO5695966,myrtilloides,17,IV,1.116666667,-77.66666667,3750,x,,,,,2,
JL13004,NY_JL13004,myrtilloides,17,IV,4.7,-75.33333333,3700,x,,,,,2,
JS17503,MO4052294,myrtilloides,17,IV,-16.58333333,-67.71666667,3700,x,,,,,2,
JS52404,F1335237,myrtilloides,17,IV,-0.206666667,-78.55416667,3400,x,,,,,2,
JW7766,K244,myrtilloides,17,IV,-18.96666667,-65.4,3400,x,,,Plate3,1,2,group6
LA2584,F1452311,myrtilloides,17,IV,8.586388889,-71.005,3200,x,,,,,2,
LV5937,MOUNM_LV5937,myrtilloides,17,IV,-12.55,-72,3000,x,,,,,2,
LV854,MO5863474,myrtilloides,17,IV,-12.94444444,-72.83888889,3400,x,,,,,2,
MD2942,F1927606,myrtilloides,17,IV,-7.195277778,-78.57,3550,x,,,,,2,
ML38831,MO5689910,myrtilloides,17,IV,-16.8,-67.28333333,3300,x,,,,,2,
NL221,MOUNM_NL221,myrtilloides,17,IV,-17.78916667,-64.71944444,2900,x,,,,,2,
NR2822,MO5689916,myrtilloides,17,IV,-17.26916667,-66.32777778,3650,x,,,Plate3,0,2,group6
PG560,US2322494,myrtilloides,17,IV,6.416666667,-72.3,2900,x,,,,,2,
PHV7207,NY_PH7207,myrtilloides,17,IV,-17.66666667,-70,3370,x,,,,,2,
PJ92172,MO5050987,myrtilloides,17,IV,-4.733333333,-79.41666667,3450,x,,,,,2,
RD2188,K229,myrtilloides,17,IV,8.59,-71.01527778,3400,x,,,,,2,
RG102,F2176315,myrtilloides,17,IV,9.879722222,-83.90833333,2520,x,,,,,2,
RO334,MOUNM_RO334,myrtilloides,17,IV,10.12222222,-84.10138889,2900,x,,,Plate3,0,2,group1
RW10639,F1674302,myrtilloides,17,IV,10.18972222,-84.22972222,2700,x,,,,,2,
TN78,NY_TN78,myrtilloides,17,IV,-0.033333333,-78.25,3750,x,,,,,2,
WD1937,MO3740306,myrtilloides,17,IV,3.8,-75.93333333,3300,x,,,,,2,
WF547,MO5903730,myrtilloides,17,IV,-13.255,-71.60555556,3650,x,,,,,2,
BH23603,MO6661345,myrtilloides,17,IV,9.604083333,-83.82973056,2850,,x,,Plate5,0,,group1
FZ130,,myrtilloides,,IV,5.903361111,-73.07527778,3511,,,x,Plate5,0,,group1
FZ131,,myrtilloides,,IV,5.906083333,-73.07577778,3509,,,x,Plate1,0,,group1
FZ132,,myrtilloides,,IV,5.896444444,-73.05972222,3678,,,x,Plate5,0,,group1
FZ134,,myrtilloides,,IV,5.930583333,-73.08291667,3698,,,x,Plate5,0,,group1
FZ154,,myrtilloides,,IV,5.931861111,-73.0805,3718,,,x,Plate5,0,,group1
FZ168,MO6354355,myrtilloides,17,IV,-14.06388889,-71.3375,3806,,x,,Plate5,0,,group4
FZ171,MO6354359,myrtilloides,17,IV,-14.06527778,-71.33861111,3796,,x,,Plate5,0,,group4
FZ172,MO6354360,myrtilloides,17,IV,-14.06530556,-71.33875,3796,,x,,Plate5,0,,group4
FZ179,MO6354363,myrtilloides,17,IV,-13.16027778,-72.28027778,3694,,x,,Plate1,0,,group4
FZ194,MO6354366,myrtilloides,17,IV,-13.20138889,-71.64083333,3445,,x,,Plate5,0,,group2
FZ201,MO6354356,myrtilloides,17,IV,-13.20361111,-71.61444444,3489,,x,,Plate5,0,,group2
FZ250,MO6354135,myrtilloides,17,IV,-5.380555556,-79.55694444,2353,,x,,Plate5,0,,group1
FZ321,MO6265703,myrtilloides,17,IV,-16.11,-68.074,3835,,x,,Plate1,0,,group6
FZ86,ANDES_6,myrtilloides,17,IV,5.001111111,-74.18305556,3197,,x,,Plate3,1,,group1
FZ87,,myrtilloides,,IV,4.566388889,-74.00111111,3360,,,x,Plate5,0,,group1
FZ89,,myrtilloides,,IV,4.591666667,-74,2660,,,x,Plate5,0,,group1
APs.n.,L274,leucantha,14,V,-41.63333333,-73.55,50,x,,,,,1,
Bs.n.,MO01029354,leucantha,14,V,-40.25972222,-73.08333333,50,x,,,,,1,
CJ1848,US1122249,leucantha,14,V,-38.86666667,-73.29972222,100,x,,,,,1,
CJ5993,US1444256,leucantha,14,V,-37.95,-73.33333333,300,x,,,,,1,
EK2349,US2104905,leucantha,14,V,-38.36666667,-72,520,x,,,,,1,
FZ383,MOUNM_FZ383,leucantha,14,V,-37.81305556,-73.13722222,707,x,,,Plate1,0,1,group3
FZ384,MO6205561,leucantha,14,V,-37.81277778,-73.1375,706,x,,,Plate4,1,1,group3
FZ385,MO6205559,leucantha,14,V,-37.81305556,-73.14069444,707,x,,,Plate4,0,1,group3
FZ387,MO6205556,leucantha,14,V,-37.80722222,-73.15388889,702,x,,,,,1,
FZ389,MO6205557,leucantha,14,V,-37.68138889,-73.28888889,132,x,,,,,1,
HC988,E70529,leucantha,14,V,-39.58333333,-72.25,300,x,,,,,1,
HG1490.4,GH_HG1490.4,leucantha,14,V,-39.88055556,-73.43333333,150,x,,,,,1,
R1225,RSA450676,leucantha,14,V,-37.11666667,-73.13916667,200,x,,,,,1,
TKsn,E70507,leucantha,14,V,-39.87916667,-73.43333333,150,x,,,,,1,
TP14306,MO5695933,leucantha,14,V,-42.70611111,-73.91666667,180,x,,,,,1,
WL606,L634,leucantha,14,V,-39.96666667,-72.66666667,200,x,,,,,1,
AS2882,L480,rubra,27,V,-42.86055556,-71.58138889,800,x,,,,,2,
BH5892,MO2738088,rubra,27,V,-41.13333333,-72.51666667,300,x,,,,,2,
CC2,MOUNM_CC2,rubra,27,V,-41.39527778,-73.83333333,10,x,,,Plate4,1,2,group10
EK1038,US2104900,rubra,27,V,-39.39583333,-73.22111111,51,x,,,,,2,
EW336,MO920204,rubra,27,V,-39.68333333,-72.35,150,x,,,,,2,
EWs.n.,MO2724942,rubra,27,V,-41.2,-72.55,60,x,,,,,2,
FZ106,MOUNM_FZ106,rubra,27,V,-41.22638889,-72.63833333,62,x,,,Plate4,0,2,group10
FZ107,MO6274471,rubra,27,V,-39.49555556,-72.15416667,201,x,,,Plate5,0,2,group10
FZ366,MOUNM_FZ366,rosea,27,V,-37.60166667,-72.80083333,774,x,,,Plate4,0,2,group6
FZ406,MOUNM_FZ406,rubra,27,V,-37.39333333,-71.46277778,803,x,,,Plate1,0,2,group10
FZ425,MOUNM_FZ425,rubra,27,V,-38.53947222,-71.67588889,798,x,,,Plate4,0,2,group10
FZ447,MO6274481,rubra,27,V,-38.57805556,-71.62263889,1150,x,,,Plate4,0,2,group9
FZ475,MOUNM_FZ475,rubra,27,V,-35.60444444,-71.03888889,1605,x,,,,,2,
FZ527,MOUNM_FZ527,rosea,27,V,-40.20777778,-73.4,592,x,,,Plate1,1,2,group4
FZ533,MOUNM_FZ533,rubra,27,V,-39.67555556,-73.35138889,35,x,,,Plate1,0,2,group10
FZ97,MOUNM_FZ97,rubra,27,V,-39.96472222,-73.56916667,27,x,,,Plate5,0,2,group10
HBsn,UC657811,rubra,27,V,-46.27277778,-71.91833333,500,x,,,,,2,
HGs.n.,MO1023161,rubra,27,V,-39.86666667,-73.43333333,100,x,,,,,2,
HM81,US1619433,rubra,27,V,-41.885,-73.88472222,50,x,,,,,2,
JM17536,MO1241750,rubra,27,V,-41.33333333,-72.98333333,50,x,,,,,2,
JV3203,MO2260400,rubra,27,V,-39.42361111,-71.42166667,1000,x,,,,,2,
JW4704,MO1166097,rubra,27,V,-41.2,-72.55,100,x,,,,,2,
MG296,E158533,rosea,27,V,-35.85622222,-71.09552778,1374,x,,,,,2,
MG4006,E16392,rubra,27,V,-40.76666667,-72.2,1100,x,,,,,2,
MG5482,E70482,rubra,27,V,-34.98333333,-70.76666667,750,x,,,,,2,
MW6806,NY_MW6806,rubra,27,V,-40.73416667,-71.41416667,830,x,,,,,2,
OZ8860,MO2392535,rubra,27,V,-40.58972222,-73.7375,45,x,,,,,2,
PA33372,MO1306155,rubra,27,V,-35.01666667,-70.8,1000,x,,,,,2,
PB260,E9923,rubra,27,V,-42.82,-72.7275,8,x,,,,,2,
PB368,E96278,rubra,27,V,-41.21527778,-72.6825,150,x,,,,,2,
PHV317,E236138,rubra,27,V,-40.68361111,-71.7,700,x,,,,,2,
PHV318,E236136,rubra,27,V,-40.68333333,-71.7,700,x,,,Plate4,0,2,group10
PHV850,F1470209,rubra,27,V,-38.81055556,-73.39222222,54,x,,,,,2,
RF5795,MO5716494,rubra,27,V,-42.16666667,-71.36666667,600,x,,,,,2,
WE24417,F1491911,rubra,27,V,-49.09305556,-72.54638889,416,x,,,,,2,
AS3469,L453,rosea,27,V,-42.74722222,-72.00222222,550,x,,,,,3,
CE10571,MO3738470,alpina,27,V,-40.75,-72.15,1050,x,,,,,3,
CE10626,BR873404,alpina,27,V,-43.41666667,-73.35944444,600,x,,,,,3,
CHsn,LIL384548,rosea,27,V,-46.79722222,-74.06777778,450,x,,,,,3,
EW1264,MO939430,alpina,27,V,-38.7,-71.71666667,1300,x,,,,,3,
EW1305,MO939304,alpina,27,V,-36.9,-71.56666667,2100,x,,,,,3,
EW667,MO956370,alpina,27,V,-41.75472222,-72.40111111,1200,x,,,,,3,
F15998,GH_FH15998,alpina,27,V,-39.38333333,-71.98333333,1200,x,,,,,3,
FZ331,MO6274111,alpina,27,V,-33.30055556,-70.31805556,2033,x,,,Plate4,1,3,group10
FZ332,MO6276160,alpina,27,V,-33.30055556,-70.31805556,2033,x,,,Plate5,0,3,group10
FZ334,MO6276161,alpina,27,V,-33.30055556,-70.31808333,2034,x,,,Plate5,0,3,group10
FZ337,MO6276166,alpina,27,V,-33.29666667,-70.31502778,2005,x,,,Plate5,0,3,group2
FZ338,MO6274112,alpina,27,V,-33.29638889,-70.31444444,1980,x,,,Plate4,1,3,group10
FZ400,MO6274107,alpina,27,V,-36.90527778,-71.40333333,1912,x,,,Plate4,0,3,group10
FZ401,MOUNM_FZ401,alpina,27,V,-36.90527778,-71.40361111,1914,x,,,,,3,
FZ416,MO6274110,alpina,27,V,-37.37805556,-71.36222222,1256,x,,,Plate5,0,3,group10
FZ422,MO6274109,alpina,27,V,-37.37805556,-71.36222222,1259,x,,,Plate5,0,3,group10
FZ424,MO6274108,alpina,27,V,-37.37805556,-71.36222222,1255,x,,,Plate4,0,3,group10
FZ445,MO6274477,rubra,27,V,-38.57805556,-71.62222222,1130,x,,,Plate4,0,3,group9
FZ446,MO6274476,rubra,27,V,-38.57777778,-71.6225,1140,x,,,Plate4,0,3,group9
FZ451,MO6294768,florida,7,V,-38.57777778,-71.6225,1156,x,,,Plate4,0,3,group8
FZ452,MO6294766,florida,7,V,-38.57777778,-71.62263889,1156,x,,,Plate4,1,3,group7
FZ518,MO6274105,alpina,27,V,-40.77444444,-72.20027778,1130,x,,,Plate4,1,3,group10
FZ523,MO6274100,alpina,27,V,-40.77805556,-72.18916667,1276,x,,,Plate1,0,3,group10
GIII52,MO1126873,alpina,27,V,-33.33333333,-70.25,2300,x,,,,,3,
GS2641,NY_GS2641,alpina,27,V,-50.86777778,-72.79527778,600,x,,,,,3,
GS49,NY_GS49,rosea,27,V,-44.33333333,-72.52638889,500,x,,,,,3,
JK20,COR_JK20,alpina,27,V,-45.86666667,-71.25,700,x,,,,,3,
JS4381,MO2737973,alpina,27,V,-36.83333333,-71.41666667,1200,x,,,,,3,
JW5159,MO1165975,alpina,27,V,-33.08333333,-70.76666667,2100,x,,,,,3,
KR4614,MO2989818,alpina,27,V,-41.1,-71.58333333,1650,x,,,,,3,
M2048,L44,alpina,27,V,-38.57805556,-71.61666667,1200,x,,,,,3,
MB369,US3438139,rubra,27,V,-40.33608333,-71.41161111,1000,x,,,,,3,
MF6193,E131002,alpina,27,V,-51.12722222,-73.13027778,50,x,,,,,3,
MG6031,E96581,alpina,27,V,-50.98333333,-72.85,500,x,,,,,3,
MG6904,E182448,alpina,27,V,-39.01875,-71.68558333,1357,x,,,,,3,
OZ8086,MO2313921,alpina,27,V,-40.75,-72.15,1000,x,,,,,3,
OZ8661,MO2374830,rosea,27,V,-50.33194444,-72.50305556,185,x,,,,,3,
PB84,E96277,alpina,27,V,-35.94527778,-70.50805556,1750,x,,,,,3,
PB972,E182299,alpina,27,V,-38.61972222,-71.59916667,1663,x,,,,,3,
PHV335,E236125,alpina,27,V,-51.56794444,-72.61786111,140,x,,,,,3,
PM69850,COR_PM69850,alpina,27,V,-50.47444444,-72.48055556,800,x,,,,,3,
RF4349,NY_RF4349,alpina,27,V,-37.83444444,-71.09083333,1940,x,,,,,3,
RWs.n.,MO4979489,alpina,27,V,-41.21666667,-71.5,1850,x,,,,,3,
ST2285,MO4029392,alpina,27,V,-33.81666667,-70.08361111,2300,x,,,,,3,
TP14391,MO5681288,alpina,27,V,-45.88611111,-72.12583333,1000,x,,,,,3,
WE24190,MO1242108,alpina,27,V,-51.73333333,-72.51666667,50,x,,,,,3,
ZR138,L58,alpina,27,V,-38.1,-70.91666667,1776,x,,,,,3,
Bs.n.,MO1031263,revoluta,26,V,-32.53333333,-71.45,140,x,,,,,4,
CJ1847,US1122248,revoluta,26,V,-38.86666667,-73.29972222,100,x,,,,,4,
EK5372,L431,revoluta,26,V,-31.87583333,-71.48333333,20,x,,,,,4,
EW361,MO00920046,revoluta,26,V,-39.68333333,-72.35,190,x,,,,,4,
FZ359,MO6296752,revoluta,26,V,-37.63666667,-72.78555556,399,x,,,Plate4,1,4,group1
FZ360,MO6274491,revoluta,26,V,-37.64833333,-72.75972222,375,x,,,Plate1,0,4,group1
FZ392,MOUNM_FZ392,rosea,27,V,-36.91805556,-71.42805556,1472,x,,,,,4,
FZ395,MOUNM_FZ395,rosea,27,V,-36.9075,-71.41138889,1662,x,,,Plate4,0,4,group9
FZ428,MO6276182,rosea,27,V,-38.57916667,-71.6275,1091,x,,,Plate4,1,4,group9
FZ456,MO6276179,rosea,27,V,-38.28666667,-71.77222222,1056,x,,,Plate1,0,4,group9
FZ464,MOUNM_FZ464,rosea,27,V,-35.46611111,-70.97722222,1328,x,,,,,4,
FZ466,MOUNM_FZ466,rosea,27,V,-35.46611111,-70.97725,1328,x,,,Plate4,0,4,group9
FZ467,MO6276167,rosea,27,V,-35.46583333,-70.97722222,1329,x,,,Plate5,0,4,group9
FZ470,MOUNM_FZ470,rosea,27,V,-35.46916667,-70.97222222,1312,x,,,,,4,
FZ477,MOUNM_FZ477,rosea,27,V,-35.59666667,-71.0175,1661,x,,,Plate4,0,4,group9
FZ478,MO6276173,rosea,27,V,-35.59666667,-71.0175,1660,x,,,Plate5,1,4,group9
FZ491,MO6296751,revoluta,26,V,-35.65194444,-71.25138889,438,x,,,Plate1,0,4,group1
FZ495,MO6274496,revoluta,26,V,-35.64777778,-71.25527778,437,x,,,Plate4,0,4,group1
FZ496,MO6293543,myrtoidea,26,V,-35.92083333,-71.36777778,342,x,,,Plate4,0,4,group1
FZ497,MO6293530,myrtoidea,26,V,-35.92055556,-71.36777778,342,x,,,Plate4,0,4,group1
FZ499,MO6274500,revoluta,26,V,-35.63638889,-71.48361111,266,x,,,Plate4,0,4,group1
LL4440,MO3485939,revoluta,26,V,-36.91666667,-72.66666667,200,x,,,,,4,
MG291,E158505,rosea,27,V,-35.85619444,-71.09555556,1374,x,,,,,4,
MG300,E158532,revoluta,26,V,-35.86516667,-71.12013889,758,x,,,,,4,
MG4676,E27348,revoluta,26,V,-36.83333333,-72.68333333,250,x,,,,,4,
MG5084,E70462,revoluta,26,V,-32.56666667,-71.45,116,x,,,,,4,
MG5475,E70460,revoluta,26,V,-34.98333333,-70.76666667,750,x,,,,,4,
MG85,E158663,rosea,27,V,-35.46580556,-70.97641667,1341,x,,,,,4,
MG86,E158564,rosea,27,V,-35.46583333,-70.97638889,1341,x,,,,,4,
OZ17557,MO4665818,rubra,27,V,-33.01666667,-71.26666667,500,x,,,,,4,
OZ9278,MO5681278,myrtoidea,26,V,-34.95,-70.43333333,2000,x,,,,,4,
PB1175,E182302,revoluta,26,V,-35.66636111,-71.25133333,424,x,,,,,4,
PB455,E43589,revoluta,26,V,-37.39416667,-71.44305556,1000,x,,,,,4,
PB487,E96270,revoluta,26,V,-37.81083333,-72.89694444,670,x,,,,,4,
PB71,E96332,myrtoidea,26,V,-35.9125,-70.64277778,1470,x,,,,,4,
QH526,MO5181866,revoluta,26,V,-38.66666667,-72,500,x,,,,,4,
TP14215,MO5695684,rosea,27,V,-38.32638889,-72.06138889,500,x,,,,,4,
FZ103,MO6274472,rubra,27,V,-41.13638889,-72.39916667,204,x,,,Plate5,0,5,group10
EPIII64,L174A,florida,7,V,-37.3,-71.95,1200,x,,,,,6,
FZ362,MO6205552,leucantha,14,V,-37.76861111,-72.80083333,773,x,,,Plate4,0,6,group6
FZ363,MO6205555,leucantha,14,V,-37.78527778,-72.8175,773,x,,,Plate5,0,6,group6
FZ367,MO6205554,leucantha,14,V,-37.60194444,-72.80097222,775,x,,,Plate4,1,6,group6
FZ368,MO6205553,leucantha,14,V,-37.60208333,-72.80108333,775,x,,,Plate5,1,6,group6
FZ431,MOUNM_FZ431,florida,7,V,-38.57694444,-71.62888889,1055,x,,,Plate1,0,6,group5
FZ432,MO6294771,florida,7,V,-38.5775,-71.62583333,1070,x,,,Plate4,0,6,group5
FZ433,MO6294772,florida,7,V,-38.5775,-71.62597222,1070,x,,,Plate4,1,6,group5
FZ434,MO6294773,florida,7,V,-38.57722222,-71.62555556,1100,x,,,Plate4,0,6,group5
FZ435,MO6294775,florida,7,V,-38.57722222,-71.62361111,1121,x,,,Plate4,1,6,group5
FZ436,MO6294774,florida,7,V,-38.5775,-71.62277778,1149,x,,,Plate4,1,6,group8
FZ437,MO6294776,florida,7,V,-38.5775,-71.62291667,1149,x,,,Plate4,0,6,group8
FZ438,MOUNM_FZ438,florida,7,V,-38.57777778,-71.62277778,1164,x,,,Plate4,0,6,group8
FZ448,MO6294765,florida,7,V,-38.57777778,-71.62222222,1156,x,,,Plate4,0,6,group8
FZ449,MO6294763,florida,7,V,-38.57777778,-71.62236111,1156,x,,,Plate4,1,6,group8
FZ450,MO6294764,florida,7,V,-38.57791667,-71.62222222,1156,x,,,Plate5,0,6,group8
FZ453,MO6294767,florida,7,V,-38.57722222,-71.62333333,1114,x,,,,,6,
GM2701,GH_GM2701,florida,7,V,-38.54722222,-71.67722222,1150,x,,,,,6,
GS2237,MO5733317,alpina,27,V,-38.86666667,-70.48333333,1900,x,,,,,6,
MG4975,E70506,florida,7,V,-37.78333333,-72.81666667,800,x,,,,,6,
MG5549,E70456,florida,7,V,-37.71666667,-71.21666667,1040,x,,,,,6,
OZ2302,L172,florida,7,V,-37.28305556,-71.71666667,2000,x,,,,,6,
PB479,E9935,florida,7,V,-37.3975,-71.49416667,1150,x,,,,,6,
PB835,E182582,florida,7,V,-37.6095,-72.7745,624,x,,,,,6,
PB838,E182579,florida,7,V,-37.60944444,-72.77444444,624,x,,,,,6,
CT10396,MO3925189,rosea,27,V,-37.66666667,-73,300,x,,,,,7,
FZ119,MOUNM_FZ119,rubra,27,V,-33.72916667,-70.47055556,954,x,,,Plate4,1,7,group10
FZ379,MOUNM_FZ379,rosea,27,V,-37.81,-73.05666667,984,x,,,Plate1,0,7,group9
FZ394,MOUNM_FZ394,rosea,27,V,-36.9075,-71.41138889,1662,x,,,,,7,
FZ426,MO6276181,rosea,27,V,-38.53944444,-71.67583333,798,x,,,Plate4,0,7,group9
FZ427,MOUNM_FZ427,rosea,27,V,-38.53944444,-71.67583333,798,x,,,Plate4,0,7,group9
FZ439,MO6274478,rubra,27,V,-38.57777778,-71.62277778,1165,x,,,Plate1,0,7,group9
FZ440,MOUNM_FZ440,rubra,27,V,-38.57777778,-71.62305556,1166,x,,,Plate5,0,7,group9
FZ441,MO6274473,rubra,27,V,-38.57777778,-71.6225,1130,x,,,Plate4,0,7,group9
FZ442,MO6274480,rubra,27,V,-38.57805556,-71.6225,1130,x,,,Plate4,1,7,group9
FZ443,MO6274479,rubra,27,V,-38.57791667,-71.6225,1130,x,,,Plate4,0,7,group9
FZ444,MOUNM_FZ444,rubra,27,V,-38.57805556,-71.62222222,1130,x,,,Plate4,1,7,group9
FZ457,MOUNM_FZ457,rosea,27,V,-38.25333333,-71.74861111,1068,x,,,Plate4,0,7,group9
FZ479,MO6274114,alpina,27,V,-35.59972222,-71.01166667,1913,x,,,Plate4,0,7,group9
FZ489,MO6274113,alpina,27,V,-35.59944444,-71.01,1921,x,,,Plate4,1,7,group9
FZ500,MOUNM_FZ500,rubra,27,V,-36.60027778,-71.46916667,528,x,,,Plate4,0,7,group10
FZ510,MOUNM_FZ510,rosea,27,V,-40.77027778,-72.27111111,725,x,,,Plate4,1,7,group9
FZ512,MOUNM_FZ512,rosea,27,V,-40.77027778,-72.27138889,720,x,,,,,7,
FZ531,MOUNM_FZ531,rosea,27,V,-40.17722222,-73.44083333,899,x,,,,,7,
FZ532,MOUNM_FZ532,rosea,27,V,-40.17722222,-73.44055556,900,x,,,Plate4,1,7,group9
HC80,MO1620579,rubra,27,V,-33.05,-71.60111111,31,x,,,,,7,
JB32862,BR934953,rubra,27,V,-51.66666667,-72.53333333,50,x,,,,,7,
JW3985,MO1165879,rubra,27,V,-33.1,-71.68333333,200,x,,,,,7,
LL4342,MO3408928,rubra,27,V,-33.33333333,-71.66666667,80,x,,,,,7,
LL5968,MO5695682,rubra,27,V,-33.33333333,-71.66805556,100,x,,,,,7,
MC12841,MO2417811,rosea,27,V,-40.11666667,-73.56666667,840,x,,,,,7,
MG3452,E16386,rosea,27,V,-41.16666667,-72.5,200,x,,,,,7,
MG4409,E22959,rosea,27,V,-35.5,-71.16666667,1500,x,,,,,7,
OB6523,MO1640677,rubra,27,V,-33.28527778,-71.64361111,170,x,,,,,7,
OB6527,MO1639483,rubra,27,V,-33.140195,-71.703905,111,x,,,,,7,
OZ5556,L540,rubra,27,V,-37.40888889,-71.60611111,1200,x,,,,,7,
OZ9429,MO2573358,rubra,27,V,-33.26666667,-71.65,100,x,,,,,7,
PHV75,GH_PH75,rubra,27,V,-40.3425,-72.2475,400,x,,,,,7,
TP14473,MO5681289,alpina,27,V,-51.5825,-72.75944444,20,x,,,,,7,
CT11000,MO5102015,revoluta,26,V,-35.84777778,-71.25,900,x,,,,,8,
FZ390,MO6205558,leucantha,14,V,-37.68152778,-73.28902778,132,x,,,Plate4,0,8,group3
FZ542,MO6293531,myrtoidea,26,V,-33.72972222,-70.47083333,920,x,,,Plate1,0,8,group1
FZ543,MO6293541,myrtoidea,26,V,-33.72944444,-70.47083333,920,x,,,,,8,
FZ544,MO6293542,myrtoidea,26,V,-33.73,-70.47111111,920,x,,,Plate4,1,8,group1
MG381,E158577,myrtoidea,26,V,-36.57869444,-71.45508333,811,x,,,,,8,
MG384,E158580,myrtoidea,26,V,-36.57866667,-71.45508333,811,x,,,,,8,
MG5137,E70473,myrtoidea,26,V,-33.33333333,-70.36666667,1270,x,,,,,8,
MG532,E158711,myrtoidea,26,V,-36.57869444,-71.45505556,811,x,,,,,8,
MG5444,E70461,revoluta,26,V,-33.06666667,-70.95,800,x,,,,,8,
MG5492,E70474,myrtoidea,26,V,-34.98361111,-70.76666667,750,x,,,,,8,
MG568,E158700,myrtoidea,26,V,-37.67927778,-73.22727778,485,x,,,,,8,
MG6977,E182552,revoluta,26,V,-39.87702778,-73.16116667,1,x,,,,,8,
OB6473,MO1638151,myrtoidea,26,V,-33.00222222,-71.00611111,1200,x,,,,,8,
OZ5577,L355,myrtoidea,26,V,-29.96666667,-70.93333333,1000,x,,,,,8,
OZ8726,MO2403167,revoluta,26,V,-31.97777778,-71.45,880,x,,,,,8,
PB644,E9938,myrtoidea,26,V,-33.32333333,-70.3175,1700,x,,,,,8,
YM7858,MO1164437,myrtoidea,26,V,-35.04888889,-70.56916667,1240,x,,,,,8,
FZ100,MOUNM_FZ100,leucantha,14,V,-39.96055556,-73.34777778,171,,x,,Plate4,1,,group3
FZ101,MO6296022,rubra,27,V,-41.31141667,-72.98113889,20,,x,,Plate5,0,,group10
FZ102,MO6296021,rubra,27,V,-41.13333333,-72.41666667,50,,x,,Plate5,0,,group10
FZ104,MO6267223,rosea,27,V,-41.13833333,-72.53555556,908,,x,,Plate5,0,,group9
FZ105,MO6276188,rosea,27,V,-41.14027778,-72.53472222,922,,x,,Plate5,0,,group9
FZ110,MO6296020,rubra,27,V,-39.64583333,-72.32083333,232,,x,,Plate5,0,,group10
FZ112,MO6276155,alpina,27,V,-40.77527778,-72.20388889,1050,,x,,Plate5,0,,group10
FZ113,MO6276187,rosea,27,V,-40.77,-72.27111111,721,,x,,Plate5,0,,group9
FZ114,MOUNM_FZ114,rosea,27,V,-40.77,-72.27111111,721,,x,,Plate4,0,,group9
FZ115,MO6276186,rosea,27,V,-40.77,-72.27111111,721,,x,,Plate5,0,,group9
FZ116,MOUNM_FZ116,leucantha,14,V,-39.99833333,-73.00055556,90,,x,,Plate1,0,,group3
FZ125,MO6296753,revoluta,26,V,-32.99583333,-71.02944444,1642,,x,,Plate4,0,,group1
FZ126,MO6293532,myrtoidea,26,V,-32.99305556,-71.02944444,1650,,x,,Plate4,0,,group1
